id,art_style,painting,language,emotion,utterance
16279,Romanticism,alexander-shilov_director-s-bondarchuk-1994(4),chinese,fear,['白发老人留着小胡子身穿正装，面容严肃让人觉得恐惧。']
16280,Realism,isaac-levitan_before-the-thunderstorm-1893,chinese,amusement,['作品里随意的画风，凌乱的笔触，描绘的湖水，令人感到搞笑。']
16281,Romanticism,dante-gabriel-rossetti_study-of-guinevere-for-0sir-lancelot-in-the-queen-s-chamber-1857,arabic,sadness,"['امراة تمسك بيديها و تضعها على عنقها تنظر الى الاعلى و تشعر بالملل', 'مراة تبدو حزينة وتضع ايديها على رقبتها من شدة قلقها']"
16282,Realism,vasily-tropinin_ustim-karmaluk,english,sadness,['There is a red tint to his eyes indicating crying.']
16283,Art_Nouveau_Modern,ivan-bilibin_spring-1900,arabic,awe,"['بحيرة وسط الاراضي المغطاة بالثلوج ويبدو انه فصل الشتاء', 'بركة الماء في مشهد شتوي في الطبيعة تجعلني أشعر بالرهبة من الطبيعة نفسها']"
16284,Minimalism,jiro-yoshihara_untitled-1966,chinese,sadness,['黑色的底色，白色的图案，令人伤感']
16285,Art_Nouveau_Modern,wilhelm-kotarbinski_pilate-s-court,chinese,awe,['男子简单的衣服坐在主座上，令人惊叹']
16286,Impressionism,winston-churchill_marlborough-tapestries-at-blenheim-1(1),english,awe,"[""That wall mural is absolutely stunnning, as is the furniture. I'd love to have this room as my office.""]"
16287,Realism,vincent-van-gogh_hand-with-a-pot-the-knob-of-a-chair-and-a-hunk-of-bread-1885(1),chinese,sadness,"['一只布满皱纹的手提着茶壶，看着非常苍老。', '一只黑色的手提着一个水壶的样子令人感到伤感。']"
16288,Baroque,rembrandt_portrait-of-an-old-man,english,sadness,['This man has such a solemn expression that he must be heavily burdened by stress']
16289,Northern_Renaissance,albrecht-durer_philip-1526,chinese,fear,['一个手拿圣经柱着权杖穿着白袍的男子气势威严让人害怕']
16290,Post_Impressionism,pablo-picasso_nude-study-to-harem-1906,arabic,awe,['هذه المراه تبدو جميله جدا و جسمها مثير و رائع و اللون الاحمر يعكس كم كبير من السعاده']
16291,Romanticism,ford-madox-brown_portrait-of-william-michael-rossetti-1829-1919-by-lamplight-1856,chinese,amusement,"['男人的胡子卷着翘起来，仿佛一个个小勾子一样，看着令人发笑。', '男人已经有些秃顶，穿着黑色的西装，眼神有些呆滞，看起来让人感觉非常的好笑', '男人宽大的脑门，发际线很高，头发胡子都翘着，让人觉得好笑。']"
16292,Romanticism,franz-richard-unterberger_the-grand-canal-venice-1,english,contentment,"['I love how calm the water looks. The buildings look great.', 'The realness of the water and the pleasing array of boats is calming.']"
16293,Art_Nouveau_Modern,raphael-kirchner_all-healing-6,arabic,amusement,['فتاة جميلة تلهو وتلعب على عجلة وهي ترتدي قبعة حمراء اللون']
16294,Realism,vincent-van-gogh_peasant-man-and-woman-planting-potatoes-1885,english,sadness,"['Colouring makes it feel like a dirt, polluted working environment.', 'The figures work hard and the simple strokes make them difficult to see']"
16295,Realism,gustave-courbet_still-life-apples-and-pears-1871,arabic,contentment,"['بعض من حبات فاكهة التفاح الحمراء والكمثرى موضوعة علي طاولة', 'مجموعه من فاكهة التفاح الغريبه والكبيره في صورة غريبه', 'منظر جميل للوحه مرسومه باليد لبعض الخضره الطبيعيه الجميله', 'الفاكهة مبشعة باللون الأحمر و طريقة التلوين أعطتها مظهر الرخوة قليلا']"
16296,Post_Impressionism,georges-seurat_part-of-the-studio-1887,chinese,disgust,"['黑白色简陋的房间里面，没有生机，让人嫌恶。', '屋子的角落里，有一张桌子，上面放着一个水壶，旁边堆放着杂物，看起来又脏又乱，令人厌恶。']"
16297,Pop_Art,andy-warhol_butterfly-hearths-andy-warhol,chinese,excitement,['白纸上有两个爱心，像是一封表白书，让人感到兴奋。']
